Algorithm,Environment,Run,Agent Score Mean,Agent Score Std,Adversary Score Mean,Adversary Score Std,adversary_at_goal_frames Mean,adversary_at_goal_frames Std,adversary_reward Mean,adversary_reward Std,agent_reward Mean,agent_reward Std,agent_success Mean,agent_success Std,agent_wins Mean,agent_wins Std,bob_reward Mean,bob_reward Std,bob_success Mean,bob_success Std,eve_reward Mean,eve_reward Std,eve_success Mean,eve_success Std,num_catches Mean,num_catches Std,num_collisions Mean,num_collisions Std,prey_survival_rate Mean,prey_survival_rate Std,total_reward Mean,total_reward Std
reinforce,simple_push_v3,1,-9.229506212589893,5.0785084235108675,-7.281426472276655,10.299503129496584,,,-7.281426472276655,10.299503129496584,-9.229506212589893,5.0785084235108675,,,0.442,0.4966246067202068,,,,,,,,,,,,,,,,
reinforce,simple_reference_v3,1,-112.29623413875667,24.064424774821955,,,,,,,,,,,,,,,,,,,,,,,,,,,-112.29623413875667,24.064424774821955
reinforce,simple_speaker_listener_v4,1,-49.72671821279026,44.810732874050665,,,,,,,,,,,,,,,,,,,,,,,,,,,-49.72671821279026,44.810732874050665
reinforce,simple_spread_v3,1,-168.3336096083723,51.70901917825943,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
reinforce,simple_tag_v3,1,-12.67985518612354,18.434041437341847,28.65,51.55266724428523,,,,,,,,,,,,,,,,,,,0.943,1.6839688239394457,0.0,0.0,0.9622800000000001,0.06735875295757783,,
reinforce,simple_v3,1,-8.610612228741887,9.60601380092723,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.610612228741887,9.60601380092723
reinforce,simple_world_comm_v3,1,-33.99601504004233,24.349351852398133,99.21442674691566,81.741701842385,18.088,13.063240639290084,99.21442674691566,81.741701842385,-33.99601504004233,24.349351852398133,,,,,,,,,,,,,2.54,4.403226090038984,,,,,,
trpo,simple_adversary_v3,1,13.642207951909345,11.811060929135515,-15.742380403122507,6.509638406500765,0.0,0.0,-15.742380403122507,6.509638406500765,13.642207951909343,11.811060929135515,0.988,0.1088852607105296,,,,,,,,,,,,,,,,,,
trpo,simple_crypto_v3,1,2.144,66.12263805989595,-12.89,20.17949206496536,,,,,,,,,,,1.072,33.061319029947974,0.515,0.49977494935220584,-12.89,20.17949206496536,0.0,0.0,,,,,,,,
trpo,simple_push_v3,1,-7.81114199021779,5.34985588838426,-5.950523633595626,6.822256996868259,,,-5.950523633595626,6.822256996868259,-7.81114199021779,5.34985588838426,,,0.463,0.4986291206899171,,,,,,,,,,,,,,,,
trpo,simple_reference_v3,1,-35.13248137857986,11.59258759228394,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.13248137857986,11.59258759228394
trpo,simple_speaker_listener_v4,1,-31.700830797080286,22.812937847297874,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.70083079708029,22.812937847297874
trpo,simple_spread_v3,1,-54.56272623443953,16.193005310232117,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
trpo,simple_tag_v3,1,-27.582009149025826,25.158001437005677,75.87,75.28242225114704,,,,,,,,,,,,,,,,,,,2.45,2.3998958310726737,0.0,0.0,0.902,0.09599583324290696,,
trpo,simple_v3,1,-7.348898697671033,7.933804069140798,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.348898697671033,7.933804069140798
trpo,simple_world_comm_v3,1,-37.60825390408922,22.866252887969797,134.68451271536173,88.57699264426574,23.472,13.157857576368578,134.68451271536173,88.57699264426574,-37.60825390408922,22.866252887969797,,,,,,,,,,,,,3.936,5.492895775453963,,,,,,
